"county","state","metro","avg_home_value"
"Los Angeles County","CA","Los Angeles-Long Beach-Anaheim",623588.416666667
"Cook County","IL","Chicago-Naperville-Elgin",240966.666666667
"Harris County","TX","Houston-The Woodlands-Sugar Land",189334
"Maricopa County","AZ","Phoenix-Mesa-Scottsdale",269839.75
"San Diego County","CA","San Diego-Carlsbad",581475.833333333
"Orange County","CA","Los Angeles-Long Beach-Anaheim",723042.916666667
"Kings County","NY","New York-Newark-Jersey City",655214.583333333
"Miami-Dade County","FL","Miami-Fort Lauderdale-West Palm Beach",304717
"Dallas County","TX","Dallas-Fort Worth-Arlington",203781.25
"Queens County","NY","New York-Newark-Jersey City",509714.333333333
"Riverside County","CA","Riverside-San Bernardino-Ontario",376522.5
"San Bernardino County","CA","Riverside-San Bernardino-Ontario",344212.416666667
"Clark County","NV","Las Vegas-Henderson-Paradise",273674
"King County","WA","Seattle-Tacoma-Bellevue",646416.166666667
"Wayne County","MI","Detroit-Warren-Dearborn",97446
"Tarrant County","TX","Dallas-Fort Worth-Arlington",212634.25
"Santa Clara County","CA","San Jose-Sunnyvale-Santa Clara",1266396.58333333
"Broward County","FL","Miami-Fort Lauderdale-West Palm Beach",263982.25
"Bexar County","TX","San Antonio-New Braunfels",177211.083333333
"New York County","NY","New York-Newark-Jersey City",1063433.66666667
"Philadelphia County","PA","Philadelphia-Camden-Wilmington",166747
"Alameda County","CA","San Francisco-Oakland-Hayward",857178.916666667
"Middlesex County","MA","Boston-Cambridge-Newton",550853.166666667
"Suffolk County","NY","New York-Newark-Jersey City",518494.416666667
"Sacramento County","CA","Sacramento--Roseville--Arden-Arcade",365465.25
"Bronx County","NY","New York-Newark-Jersey City",279662.166666667
"Nassau County","NY","New York-Newark-Jersey City",540481.166666667
"Palm Beach County","FL","Miami-Fort Lauderdale-West Palm Beach",283111.833333333
"Cuyahoga County","OH","Cleveland-Elyria",130188.583333333
"Hillsborough County","FL","Tampa-St. Petersburg-Clearwater",225153.833333333
"Allegheny County","PA","Pittsburgh",155728.166666667
"Oakland County","MI","Detroit-Warren-Dearborn",247699.833333333
"Franklin County","OH","Columbus",178924.666666667
"Hennepin County","MN","Minneapolis-St. Paul-Bloomington",289967.916666667
"Orange County","FL","Orlando-Kissimmee-Sanford",251924.916666667
"Fairfax County","VA","Washington-Arlington-Alexandria",545095.583333333
"Contra Costa County","CA","San Francisco-Oakland-Hayward",682048.25
"Salt Lake County","UT","Salt Lake City",351541.25
"Travis County","TX","Austin-Round Rock",354751
