"state","county","ownership","resident_count","avg_annual_pay","position"
"Alabama","Autauga County","Total Covered",871,38407.01,14
"Alabama","Baldwin County","Total Covered",6305,36797.01,14
"Alabama","Barbour County","Total Covered",555,38208.01,14
"Alabama","Bibb County","Total Covered",374,40089.01,11
"Alabama","Blount County","Total Covered",780,35611.01,13
"Alabama","Bullock County","Total Covered",163,35053.01,14
"Alabama","Butler County","Total Covered",481,34840.01,13
"Alabama","Calhoun County","Total Covered",2546,39672.01,14
"Alabama","Chambers County","Total Covered",603,38042.01,15
"Alabama","Cherokee County","Total Covered",417,34454.01,15
"Alabama","Chilton County","Total Covered",802,37804.01,14
"Alabama","Choctaw County","Total Covered",311,50487.01,14
"Alabama","Clarke County","Total Covered",653,40257.01,13
"Alabama","Clay County","Total Covered",216,34271.01,11
"Alabama","Cleburne County","Total Covered",222,44167.01,15
"Alabama","Coffee County","Total Covered",1075,34655.01,13
"Alabama","Colbert County","Total Covered",1308,44410.01,14
"Alabama","Conecuh County","Total Covered",256,35846.01,14
"Alabama","Coosa County","Total Covered",121,36999.01,12
"Alabama","Covington County","Total Covered",894,36363.01,16
"Alabama","Crenshaw County","Total Covered",258,36774.01,15
"Alabama","Cullman County","Total Covered",1847,38612.01,14
"Alabama","Dale County","Total Covered",868,53763.01,11
"Alabama","Dallas County","Total Covered",847,37704.01,13
"Alabama","DeKalb County","Total Covered",1194,37384.01,13
"Alabama","Elmore County","Total Covered",1391,35236.01,13
"Alabama","Escambia County","Total Covered",847,39550.01,15
"Alabama","Etowah County","Total Covered",2091,36602.01,13
"Alabama","Fayette County","Total Covered",348,33264.01,14
"Alabama","Franklin County","Total Covered",588,36588.01,15
"Alabama","Geneva County","Total Covered",497,33095.01,13
"Alabama","Greene County","Total Covered",164,34533.01,13
"Alabama","Hale County","Total Covered",284,37135.01,11
"Alabama","Henry County","Total Covered",341,41960.01,12
"Alabama","Houston County","Total Covered",2969,42724.01,14
"Alabama","Jackson County","Total Covered",991,36177.01,14
"Alabama","Jefferson County","Total Covered",18903,56249.01,16
"Alabama","Lamar County","Total Covered",285,40053.01,12
"Alabama","Lauderdale County","Total Covered",2111,35023.01,17
"Alabama","Lawrence County","Total Covered",459,34975.01,15
"Alabama","Lee County","Total Covered",3204,39428.01,10
"Alabama","Limestone County","Total Covered",1457,49745.01,16
"Alabama","Lowndes County","Total Covered",172,45307.01,14
"Alabama","Macon County","Total Covered",235,42626.01,12
"Alabama","Madison County","Total Covered",9747,59421.01,14
"Alabama","Marengo County","Total Covered",525,40319.01,14
"Alabama","Marion County","Total Covered",628,35918.01,13
"Alabama","Marshall County","Total Covered",2100,36476.01,15
"Alabama","Mobile County","Total Covered",10237,47541.01,13
"Alabama","Monroe County","Total Covered",445,43025.01,13
"Alabama","Montgomery County","Total Covered",6406,45945.01,17
"Alabama","Morgan County","Total Covered",2776,45245.01,13
"Alabama","Perry County","Total Covered",155,31378.01,12
"Alabama","Pickens County","Total Covered",339,38676.01,14
"Alabama","Pike County","Total Covered",715,39826.01,11
"Alabama","Randolph County","Total Covered",399,33590.01,15
"Alabama","Russell County","Total Covered",918,37727.01,14
"Alabama","St. Clair County","Total Covered",1517,37910.01,16
"Alabama","Shelby County","Total Covered",5857,54059.01,13
"Alabama","Sumter County","Total Covered",240,39177.01,13
"Alabama","Talladega County","Total Covered",1393,45955.01,16
"Alabama","Tallapoosa County","Total Covered",847,34385.01,17
"Alabama","Tuscaloosa County","Total Covered",4596,45702.01,17
"Alabama","Walker County","Total Covered",1393,38579.01,13
"Alabama","Washington County","Total Covered",263,62929.01,17
"Alabama","Wilcox County","Total Covered",242,44331.01,13
"Alabama","Winston County","Total Covered",492,37007.01,14
"Alabama","Unknown Or Undefined","Total Covered",13738,70226.01,20
"Alaska","Aleutians East Borough","Total Covered",100,57151.01,22
"Alaska","Aleutians West Census Area","Total Covered",169,61793.01,26
"Alaska","Anchorage Municipality","Total Covered",8199,58419.01,22
"Alaska","Bethel Census Area","Total Covered",343,43728.01,18
"Alaska","Bristol Bay Borough","Total Covered",124,56031.01,19
"Alaska","Denali Borough","Total Covered",145,48171.01,14
"Alaska","Dillingham Census Area","Total Covered",158,46326.01,22
"Alaska","Fairbanks North Star Borough","Total Covered",2275,53107.01,28
"Alaska","Haines Borough","Total Covered",157,41662.01,14
"Alaska","Hoonah-Angoon Census Area","Total Covered",134,36631.01,25
"Alaska","Juneau City and Borough","Total Covered",1116,52601.01,23
"Alaska","Kenai Peninsula Borough","Total Covered",2019,49288.01,23
"Alaska","Ketchikan Gateway Borough","Total Covered",586,47435.01,25
"Alaska","Kodiak Island Borough","Total Covered",494,46128.01,21
"Alaska","Kusilvak Census Area","Total Covered",139,29287.01,20
"Alaska","Lake and Peninsula Borough","Total Covered",122,41462.01,26
"Alaska","Matanuska-Susitna Borough","Total Covered",2156,43218.01,25
"Alaska","Nome Census Area","Total Covered",302,51781.01,16
"Alaska","North Slope Borough","Total Covered",243,100815.01,19
"Alaska","Northwest Arctic Borough","Total Covered",163,72292.01,24
"Alaska","Petersburg Borough","Total Covered",165,44307.01,18
"Alaska","Prince of Wales-Hyder Census Area","Total Covered",233,41687.01,33
"Alaska","Sitka City and Borough","Total Covered",363,46860.01,22
"Alaska","Skagway Municipality","Total Covered",134,39428.01,20
"Alaska","Southeast Fairbanks Census Area","Total Covered",252,68258.01,31
"Alaska","Valdez-Cordova Census Area","Total Covered",549,56334.01,26
"Alaska","Wrangell City and Borough","Total Covered",93,41498.01,25
"Alaska","Yakutat City and Borough","Total Covered",42,42370.01,24
"Alaska","Yukon-Koyukuk Census Area","Total Covered",262,38628.01,25
"Alaska","Unknown Or Undefined","Total Covered",596,68458.01,20
"Arizona","Apache County","Total Covered",603,43227.01,13
"Arizona","Cochise County","Total Covered",2266,46053.01,14
"Arizona","Coconino County","Total Covered",3384,43316.01,15
"Arizona","Gila County","Total Covered",969,42024.01,11
"Arizona","Graham County","Total Covered",535,42646.01,13
"Arizona","Greenlee County","Total Covered",100,69560.01,15
"Arizona","La Paz County","Total Covered",359,37929.01,13
"Arizona","Maricopa County","Total Covered",98802,54307.01,15
"Arizona","Mohave County","Total Covered",3726,38304.01,13
"Arizona","Navajo County","Total Covered",1649,39255.01,13
"Arizona","Pima County","Total Covered",18634,47239.01,11
"Arizona","Pinal County","Total Covered",3185,43034.01,12
"Arizona","Santa Cruz County","Total Covered",1173,49752.01,17
"Arizona","Yavapai County","Total Covered",5693,39957.01,14
"Arizona","Yuma County","Total Covered",3217,39299.01,11
"Arizona","Unknown Or Undefined","Total Covered",15116,90674.01,20
"Arkansas","Arkansas County","Total Covered",801,40825.01,15
"Arkansas","Ashley County","Total Covered",569,43632.01,13
"Arkansas","Baxter County","Total Covered",1242,35327.01,13
"Arkansas","Benton County","Total Covered",6596,59270.01,13
"Arkansas","Boone County","Total Covered",977,39004.01,12
"Arkansas","Bradley County","Total Covered",368,34868.01,14
"Arkansas","Calhoun County","Total Covered",105,55085.01,14
"Arkansas","Carroll County","Total Covered",816,30366.01,14
"Arkansas","Chicot County","Total Covered",503,32617.01,13
"Arkansas","Clark County","Total Covered",664,34855.01,12
"Arkansas","Clay County","Total Covered",384,30166.01,11
"Arkansas","Cleburne County","Total Covered",656,33094.01,15
"Arkansas","Cleveland County","Total Covered",133,31848.01,16
"Arkansas","Columbia County","Total Covered",701,40301.01,15
"Arkansas","Conway County","Total Covered",537,39141.01,13
"Arkansas","Craighead County","Total Covered",2853,39486.01,16
"Arkansas","Crawford County","Total Covered",1254,36015.01,15
"Arkansas","Crittenden County","Total Covered",1208,37210.01,17
"Arkansas","Cross County","Total Covered",483,33856.01,12
"Arkansas","Dallas County","Total Covered",238,32514.01,13
"Arkansas","Desha County","Total Covered",555,35776.01,12
"Arkansas","Drew County","Total Covered",544,35382.01,11
"Arkansas","Faulkner County","Total Covered",2871,40810.01,15
"Arkansas","Franklin County","Total Covered",378,36717.01,15
"Arkansas","Fulton County","Total Covered",207,30380.01,13
"Arkansas","Garland County","Total Covered",3073,36433.01,14
"Arkansas","Grant County","Total Covered",345,39776.01,12
"Arkansas","Greene County","Total Covered",911,37763.01,13
"Arkansas","Hempstead County","Total Covered",521,36377.01,16
"Arkansas","Hot Spring County","Total Covered",629,36034.01,17
"Arkansas","Howard County","Total Covered",371,33206.01,13
"Arkansas","Independence County","Total Covered",915,38616.01,19
"Arkansas","Izard County","Total Covered",266,32660.01,12
"Arkansas","Jackson County","Total Covered",441,37238.01,14
"Arkansas","Jefferson County","Total Covered",2091,40921.01,16
"Arkansas","Johnson County","Total Covered",501,32862.01,14
"Arkansas","Lafayette County","Total Covered",168,30604.01,16
"Arkansas","Lawrence County","Total Covered",418,33533.01,15
"Arkansas","Lee County","Total Covered",282,34249.01,10
"Arkansas","Lincoln County","Total Covered",299,35026.01,14
"Arkansas","Little River County","Total Covered",256,50578.01,19
"Arkansas","Logan County","Total Covered",513,33198.01,12
"Arkansas","Lonoke County","Total Covered",1304,34557.01,13
"Arkansas","Madison County","Total Covered",271,34698.01,14
"Arkansas","Marion County","Total Covered",291,31015.01,13
"Arkansas","Miller County","Total Covered",896,39658.01,13
"Arkansas","Mississippi County","Total Covered",1129,51145.01,18
"Arkansas","Monroe County","Total Covered",299,31624.01,13
"Arkansas","Montgomery County","Total Covered",177,27748.01,17
"Arkansas","Nevada County","Total Covered",203,38096.01,13
"Arkansas","Newton County","Total Covered",131,26740.01,13
"Arkansas","Ouachita County","Total Covered",666,35356.01,15
"Arkansas","Perry County","Total Covered",144,32698.01,12
"Arkansas","Phillips County","Total Covered",756,32651.01,15
"Arkansas","Pike County","Total Covered",264,32046.01,11
"Arkansas","Poinsett County","Total Covered",513,36652.01,15
"Arkansas","Polk County","Total Covered",513,31987.01,11
"Arkansas","Pope County","Total Covered",1862,41952.01,11
"Arkansas","Prairie County","Total Covered",259,32280.01,14
"Arkansas","Pulaski County","Total Covered",14431,49433.01,14
