"state","county","dropout","hs_diploma","some_college","four_year_degree","dropout_percent","hs_diploma_percent","some_college_percent","four_year_degree_percent","region","region_num","resident_count","avg_annual_pay","metro","avg_home_value"
"AK","Fairbanks North Star Borough","3,381","13,785","24,520","20,152",5.5,22.3,39.7,32.6,"West","4",2275,53107.01,"Fairbanks",244178.083333333
"AK","Haines Borough","57","561","553","701",3,30,29.5,37.4,"West","4",157,41662.01,"",217823.166666667
"AK","Kenai Peninsula Borough","2,902","12,989","15,008","9,378",7.2,32.2,37.3,23.3,"West","4",2019,49288.01,"",218094.916666667
"AK","Ketchikan Gateway Borough","701","2,865","3,671","2,343",7.3,29.9,38.3,24.5,"West","4",586,47435.01,"Ketchikan",289130.5
"AK","Kodiak Island Borough","889","2,747","2,863","2,285",10.1,31.3,32.6,26,"West","4",494,46128.01,"",293279.416666667
"AL","Autauga County","4,204","12,119","10,552","10,291",11.3,32.6,28.4,27.7,"South","2",871,38407.01,"Montgomery",156874.5
"AL","Baldwin County","14,310","40,579","46,025","46,075",9.7,27.6,31.3,31.3,"South","2",6305,36797.01,"Daphne-Fairhope-Foley",194301.583333333
"AL","Barbour County","4,901","6,486","4,566","2,220",27,35.7,25.1,12.2,"South","2",555,38208.01,"Eufaula",78676.8333333333
"AL","Bibb County","2,650","7,471","3,846","1,813",16.8,47.3,24.4,11.5,"South","2",374,40089.01,"Birmingham-Hoover",117018.166666667
"AL","Blount County","7,861","13,489","13,267","5,010",19.8,34,33.5,12.6,"South","2",780,35611.01,"Birmingham-Hoover",135182.333333333
"AL","Bullock County","1,760","2,817","1,582","945",24.8,39.7,22.3,13.3,"South","2",163,35053.01,"",62145.4166666667
"AL","Butler County","2,141","6,091","3,421","2,235",15.4,43.9,24.6,16.1,"South","2",481,34840.01,"",70775.1666666667
"AL","Calhoun County","12,620","25,653","26,643","14,219",15.9,32.4,33.7,18,"South","2",2546,39672.01,"Anniston-Oxford-Jacksonville",94925.5833333333
"AL","Chambers County","4,383","9,060","7,003","3,118",18.6,38.4,29.7,13.2,"South","2",603,38042.01,"Valley",64146.25
"AL","Cherokee County","3,692","7,157","5,417","2,407",19.8,38.3,29,12.9,"South","2",417,34454.01,"",116392.416666667
"AL","Chilton County","5,302","13,125","7,147","4,219",17.8,44.1,24,14.2,"South","2",802,37804.01,"Birmingham-Hoover",117155.25
"AL","Clarke County","3,175","7,372","4,205","2,118",18.8,43.7,24.9,12.6,"South","2",653,40257.01,"",96785.8333333333
"AL","Clay County","2,275","3,366","2,700","944",24.5,36.3,29.1,10.2,"South","2",216,34271.01,"",85932.5833333333
"AL","Cleburne County","2,364","4,135","2,518","1,428",22.6,39.6,24.1,13.7,"South","2",222,44167.01,"",109183.416666667
"AL","Coffee County","4,833","9,723","12,181","8,175",13.8,27.9,34.9,23.4,"South","2",1075,34655.01,"Enterprise",119923.166666667
"AL","Colbert County","6,016","13,927","11,459","7,236",15.6,36,29.7,18.7,"South","2",1308,44410.01,"Florence-Muscle Shoals",104606.75
"AL","Conecuh County","1,703","4,315","1,881","949",19.2,48.8,21.3,10.7,"South","2",256,35846.01,"",75558.4166666667
"AL","Coosa County","1,675","3,178","2,424","953",20.4,38.6,29.5,11.6,"South","2",121,36999.01,"Talladega-Sylacauga",102229.583333333
"AL","Covington County","4,530","9,368","8,588","3,952",17.1,35.4,32.5,14.9,"South","2",894,36363.01,"",90059.8333333333
"AL","Crenshaw County","2,091","3,753","2,326","1,505",21.6,38.8,24,15.6,"South","2",258,36774.01,"",70006.5
"AL","Cullman County","10,405","20,382","18,559","7,866",18.2,35.6,32.4,13.7,"South","2",1847,38612.01,"Cullman",125348.333333333
